I (7436) Encoder_PWM: Angle: 232.500000, RPM: 82.909180
I (7446) Encoder_PWM: Angle: 232.363632, RPM: 5757.818359
I (7456) Encoder_PWM: Angle: 235.636368, RPM: 52.363770
I (7466) Encoder_PWM: Angle: 237.954544, RPM: 37.090820
I (7476) Encoder_PWM: Angle: 239.590912, RPM: 26.181885
I (7486) Encoder_PWM: Angle: 240.681824, RPM: 17.454590
I (7496) Encoder_PWM: Angle: 241.636368, RPM: 15.272705
I (7506) Encoder_PWM: Angle: 245.045456, RPM: 54.545410
I (7516) Encoder_PWM: Angle: 246.545456, RPM: 24.000000
I (7526) Encoder_PWM: Angle: 247.636368, RPM: 17.454590
I (7536) Encoder_PWM: Angle: 247.909088, RPM: 4.363525
I (7546) Encoder_PWM: Angle: 248.863632, RPM: 15.272705
I (7556) Encoder_PWM: Angle: 251.727280, RPM: 45.818359
I (7566) Encoder_PWM: Angle: 255.136368, RPM: 54.545410
I (7576) Encoder_PWM: Angle: 257.045441, RPM: 30.545166
I (7586) Encoder_PWM: Angle: 256.636353, RPM: 5753.454590
I (7596) Encoder_PWM: Angle: 255.136368, RPM: 5736.000000
I (7606) Encoder_PWM: Angle: 258.409088, RPM: 52.363525
I (7616) Encoder_PWM: Angle: 258.000000, RPM: 5753.454590
I (7626) Encoder_PWM: Angle: 261.681824, RPM: 58.909180
I (7636) Encoder_PWM: Angle: 262.909088, RPM: 19.636230
I (7646) Encoder_PWM: Angle: 264.000000, RPM: 17.454590
I (7656) Encoder_PWM: Angle: 264.954559, RPM: 15.272949
I (7666) Encoder_PWM: Angle: 267.000000, RPM: 32.727051
I (7676) Encoder_PWM: Angle: 267.000000, RPM: 0.000000
I (7686) Encoder_PWM: Angle: 264.954559, RPM: 5727.272949
I (7696) Encoder_PWM: Angle: 269.454559, RPM: 72.000000
I (7706) Encoder_PWM: Angle: 269.727264, RPM: 4.363281
I (7716) Encoder_PWM: Angle: 269.454559, RPM: 5755.636719
I (7726) Encoder_PWM: Angle: 274.227264, RPM: 76.363281
I (7736) Encoder_PWM: Angle: 275.727264, RPM: 24.000000
I (7746) Encoder_PWM: Angle: 276.272736, RPM: 8.727539
I (7756) Encoder_PWM: Angle: 276.818176, RPM: 8.727051
I (7766) Encoder_PWM: Angle: 280.772736, RPM: 63.272949
I (7776) Encoder_PWM: Angle: 282.818176, RPM: 32.727051
I (7786) Encoder_PWM: Angle: 284.590912, RPM: 28.363770
